ChEMBL_ID,canonical_smiles,activity_flag
CHEMBL4586642,COc1cc2c(Oc3ccc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)c(Cl)c3)ccnc2cc1OCCCN1CCCC1,active
CHEMBL4563995,COc1cc2c(Oc3ccc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)c4ccccc34)ccnc2cc1OCCCN1CCCC1,active
CHEMBL4462007,COc1cc2c(Oc3ccc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3Cl)ccnc2cc1OCCCN1CCCC1,active
CHEMBL4160512,COc1cc2c(Oc3ccc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1,active
CHEMBL4206589,COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC,active
CHEMBL4215478,COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)c5ccccc5)C4=O)ccc3[nH]2)cc1OC,active
CHEMBL4206860,COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(Cc5cc(OC)c(OC)c(OC)c5)C4=O)ccc3[nH]2)cc1OC,active
CHEMBL4209079,COc1ccc(-c2nc3cc(/C=C4\SC(=O)NC4=O)ccc3[nH]2)cc1OC,active
CHEMBL2260545,COc1ccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)cc1,inactive
CHEMBL2260546,COc1ccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)cc1OC,inactive
CHEMBL3088155,COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1,active
CHEMBL2236299,COc1ccc(/C=C2\SC(=O)N(Cc3ccc(C(=O)O)cc3)C2=O)cc1,inactive
CHEMBL3098836,COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,inactive
CHEMBL3098831,COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1,active
CHEMBL4291331,COc1ccc(C(=O)Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccccc32)cc1,active
CHEMBL3098840,COc1ccc(C(=O)CN2C(=O)CSC2=O)cc1,inactive
CHEMBL4633951,COc1ccc(C(C)(O)c2nc(N3CCSC3)nc3ccccc23)cc1,active
CHEMBL3261577,COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1,active
CHEMBL5171269,COc1ccc(CC/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,inactive
CHEMBL5185291,COc1ccc(CC/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,inactive
CHEMBL5172244,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,active
CHEMBL5178527,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1OC,inactive
CHEMBL5195668,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,inactive
CHEMBL5198775,COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4c3ccn4C)S2)cc1,inactive
CHEMBL3819073,COc1ccc(N2/C(=N/c3ccc(C(F)(F)F)cc3)SCC2(O)C(F)(F)F)cc1,inactive
CHEMBL3819039,COc1ccc(N2/C(=N/c3ccc(F)cc3)SCC2(O)C(F)(F)F)cc1,active
CHEMBL5419470,COc1ccc(N2C(=O)/C(=C\c3ccc([N+](=O)[O-])s3)SC2=S)cc1,inactive
CHEMBL3261538,COc1ccc(N2C(=O)CSC2c2cccc(Br)c2)c(OC)c1,inactive
CHEMBL3794067,COc1ccc([C@H]2SCC(=O)N2NC(=O)c2nccnc2N)cc1OC,inactive
CHEMBL5268780,COc1ccc2[nH]cc(-c3cc(/N=C4/NC(=O)CS4)n(-c4ccc(Cl)cc4)n3)c2c1,inactive
CHEMBL5281502,COc1ccc2[nH]cc(-c3cc(/N=C4/NC(=O)CS4)n(-c4cccc(Cl)c4)n3)c2c1,inactive
CHEMBL5279119,COc1ccc2c(c1)c(-c1cc(/N=C3/NC(=O)CS3)n(-c3ccc(Cl)cc3)n1)cn2Cc1ccccc1,inactive
CHEMBL5277522,COc1ccc2c(c1)c(-c1cc(/N=C3/NC(=O)CS3)n(-c3cccc(Cl)c3)n1)cn2C,inactive
CHEMBL4294458,COc1ccc2c(c1)nc(/C=C1\SC(=S)N(CC(=O)O)C1=O)n2Cc1ccc(C)cc1,active
CHEMBL4289575,COc1ccc2c(c1)nc(/C=C1\SC(=S)N(CC(=O)O)C1=O)n2Cc1ccccc1F,inactive
CHEMBL4283203,COc1ccc2nc(/C=C3\SC(=S)N(CC(=O)O)C3=O)n(Cc3ccc(C)cc3)c2c1,inactive
CHEMBL4287996,COc1ccc2nc(/C=C3\SC(=S)N(CC(=O)O)C3=O)n(Cc3ccccc3F)c2c1,inactive
CHEMBL4591565,COc1ccc2oc(=O)c(/C=C3\SC(=O)N(C(=O)c4ccc(Cl)cc4)C3=O)cc2c1,active
CHEMBL2260544,COc1cccc(-c2nnc(NC(=O)CC3SC(=O)NC3=O)s2)c1,inactive
CHEMBL2236298,COc1cccc(/C=C2\SC(=O)N(Cc3ccc(C(=O)O)cc3)C2=O)c1,inactive
CHEMBL3261561,COc1cccc(C2SCC(=O)N2c2ccccc2OC)c1,inactive
CHEMBL3261542,COc1cccc(N2C(=O)CSC2c2cccc(Br)c2)c1,inactive
CHEMBL2316331,COc1cccc2c1OCC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C2,inactive
CHEMBL3261557,COc1ccccc1N1C(=O)CSC1Cc1ccccc1,inactive
CHEMBL3261552,COc1ccccc1N1C(=O)CSC1c1ccc(Br)cc1,inactive
CHEMBL3261556,COc1ccccc1N1C(=O)CSC1c1ccc2ccccc2n1,inactive
CHEMBL3261541,COc1ccccc1N1C(=O)CSC1c1cccc(Br)c1,active
CHEMBL3261568,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)N2CCCCC2)c1,inactive
CHEMBL3261572,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1,inactive
CHEMBL3261573,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(Br)cc2)c1,active
CHEMBL3261576,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(Cl)cc2)c1,active
CHEMBL3261575,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(F)cc2)c1,active
CHEMBL3261578,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1,active
CHEMBL3261571,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2)c1,active
CHEMBL3261574,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2Br)c1,active
CHEMBL3261570,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCc2ccccc2)c1,active
CHEMBL3261569,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)Nc2ccccc2)c1,inactive
CHEMBL3261565,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)O)c1,inactive
CHEMBL3261563,COc1ccccc1N1C(=O)CSC1c1cccc(CBr)c1,inactive
CHEMBL3261558,COc1ccccc1N1C(=O)CSC1c1cccc(Cl)c1,active
CHEMBL3261559,COc1ccccc1N1C(=O)CSC1c1cccc(F)c1,inactive
CHEMBL3261562,COc1ccccc1N1C(=O)CSC1c1cccc(O)c1,inactive
CHEMBL3261560,COc1ccccc1N1C(=O)CSC1c1cccc([N+](=O)[O-])c1,inactive
CHEMBL3261553,COc1ccccc1N1C(=O)CSC1c1ccccc1,inactive
CHEMBL3261551,COc1ccccc1N1C(=O)CSC1c1ccccc1Br,inactive
CHEMBL3261555,COc1ccccc1N1C(=O)CSC1c1cccs1,inactive
CHEMBL3261554,COc1ccccc1N1C(=O)CSC1c1ccncc1,inactive
CHEMBL415789,CSc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,active
CHEMBL552054,C[C@@H]1CC2(NC(=O)CS2)[C@]2(O)O[C@@H]3C[C@@]4(CO)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54O)C[C@H]3O[C@@H]2O1,active
CHEMBL178993,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O)O[C@@H]3C[C@@]4(CO)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,active
CHEMBL367694,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O)O[C@@H]3C[C@@]4(COC(=O)CCc5ccccc5)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,inactive
CHEMBL175921,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O)O[C@@H]3C[C@@]4(COC(=O)c5ccccc5)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,active
