,ChEMBL_ID,canonical_smiles,activity_flag
200,CHEMBL4460407,CCN1CCN(CCCCOc2cc3nccc(Oc4c(F)cc(NC(=O)NN5C(=O)CSC5c5c(F)cccc5F)cc4F)c3cc2OC)CC1,active
201,CHEMBL5173685,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)N4CCN(C(=O)CN5C(=O)S/C(=C\C(C)C)C5=O)CC4)CC[C@]3(C)CC[C@]12C,active
205,CHEMBL4470627,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)C(C)SC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1,active
206,CHEMBL4552334,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCC(C)CC1,active
209,CHEMBL4218732,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(Cc5cccc(C)c5)C4=O)ccc3[nH]2)cc1OC,active
210,CHEMBL4280189,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2CC(=O)c2ccc(Cl)cc2)SC1=S,active
211,CHEMBL4295041,C=C1C(=O)[C@]23[C@H](O)[C@H]1C[C@H](O)[C@H]2[C@]12CCCC(C)(C)[C@H]1C[C@H]3O[C@@H]2OCCCn1cc(CN2C(=O)S/C(=C/CC)C2=O)nn1,active
212,CHEMBL4437195,COc1cc2c(Oc3c(F)cc(NC(=S)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1,active
213,CHEMBL5178704,Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]ccc43)S2)cc1,active
217,CHEMBL1910508,O=C1NC(=O)/C(=C/c2c(-c3ccccc3)[nH]c3ccc(Cl)cc23)S1,active
219,CHEMBL3794028,COc1cc([C@@H]2SCC(=O)N2NC(=O)c2cnc(C)cn2)ccc1O,active
220,CHEMBL3098834,Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2,inactive
221,CHEMBL434923,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O[Si](C)(C)C)O[C@@H]3C[C@@]4(CO[Si](C)(C)C)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO[Si](C)(C)C)C[C@H]3O[C@@H]2O1,active
224,CHEMBL2316333,CN1C(=O)S/C(=C\C2=Cc3ccccc3OC2)C1=O,inactive
227,CHEMBL3261570,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCc2ccccc2)c1,active
228,CHEMBL3261574,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2Br)c1,active
232,CHEMBL4468182,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCN1CCC(N2CCCCC2)CC1,active
233,CHEMBL4289180,Cc1ccc(Cn2c(/C=C3\SC(=S)N(CC(=O)O)C3=O)nc3ccc(F)cc32)cc1,active
237,CHEMBL4205346,COc1cc(-c2nc3cc(/C=C4\SC(=O)N(Cc5cccc(C)c5)C4=O)ccc3[nH]2)cc(OC)c1OC,active
238,CHEMBL3098833,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1,active
239,CHEMBL558653,C=CCc1ccc(O)c(-c2cc(/C=C3\SC(=O)NC3=O)c(O)c(CC=C)c2)c1,inactive
241,CHEMBL2316323,CC1Oc2ccc(Br)cc2C=C1/C=C1\SC(=O)NC1=O,inactive
243,CHEMBL560335,C=CCc1cc(/C=C2\SC(=O)NC2=O)c(O)c(-c2cc(/C=C3\SC(=O)NC3=O)c(O)c(CC=C)c2)c1,inactive
244,CHEMBL3098829,O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccccc1,active
245,CHEMBL3098840,COc1ccc(C(=O)CN2C(=O)CSC2=O)cc1,inactive
246,CHEMBL3098835,Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1,inactive
249,CHEMBL1305855,O=C(CN1C(=O)CSC1=O)c1ccccc1,inactive
250,CHEMBL4584914,CCN1CCN(CCOc2cc3nccc(Oc4c(F)cc(NC(=O)NN5C(=O)CSC5c5c(F)cccc5F)cc4F)c3cc2OC)CC1,active
252,CHEMBL4460068,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1,active
254,CHEMBL3261571,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2)c1,active
261,CHEMBL1910507,Cc1ccc2[nH]c(-c3ccccc3)c(/C=C3\SC(=O)NC3=O)c2c1,inactive
262,CHEMBL552054,C[C@@H]1CC2(NC(=O)CS2)[C@]2(O)O[C@@H]3C[C@@]4(CO)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54O)C[C@H]3O[C@@H]2O1,active
263,CHEMBL4586642,COc1cc2c(Oc3ccc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)c(Cl)c3)ccnc2cc1OCCCN1CCCC1,active
264,CHEMBL366970,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O)O[C@@H]3C[C@@]4(COS(C)(=O)=O)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,active
266,CHEMBL4215304,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC,active
267,CHEMBL3261577,COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1,active
268,CHEMBL178993,C[C@@H]1C[C@@]2(NC(=O)CS2)C2(O)O[C@@H]3C[C@@]4(CO)[C@@H](CC[C@@H]5[C@@H]4CC[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54CO)C[C@H]3O[C@@H]2O1,active
269,CHEMBL3098843,O=C1NC(=O)/C(=C/C2=C(Cl)c3ccccc3CCC2)S1,inactive
